feedback_id,session_id,user_id,timestamp,focus_score,fatigue_score,workload_score,confidence_score,tab_switch_count,prompt_response_delay_ms,visibility_state,label_source,prompt_trigger_type,feature_schema_version,idle_ratio,activity_density,error_rate,max_pause_ms,avg_mouse_variance,total_keystrokes
1,1,1,2026-05-12T03:54:17.945926+00:00,,,,,0,,visible,self-report,random,v1.0,0.12349671100498785,5.983112548227382,0.021024477666309827,1277.5504861589375,11.312202136359307,78
2,1,1,2026-05-12T03:54:17.952133+00:00,,,,,0,,visible,self-report,random,v1.0,0.8926970134203707,0.5697001116744683,0.2665884174117677,8931.588052557046,319.6271962651152,7
3,1,1,2026-05-12T03:54:17.956174+00:00,,,,,0,,visible,self-report,random,v1.0,0.49211632237633307,1.1006771700344231,0.09558897194317251,2850.3538539956435,126.35041896792963,21
4,1,1,2026-05-12T03:54:17.960884+00:00,,,,,0,,visible,self-report,random,v1.0,0.2698819766032255,2.062191224425378,0.06135566157538949,2901.403567864987,67.72941277183705,39
5,1,1,2026-05-12T03:54:17.965901+00:00,,,,,0,,visible,self-report,random,v1.0,0.1256311435628638,5.439416812287464,0.00013678685437932826,202.91509158912388,25.201207597753708,36
6,1,1,2026-05-12T03:54:17.971666+00:00,,,,,0,,visible,self-report,random,v1.0,0.8779856057249151,1.4977423861334231,0.17089814346092416,6536.681106903736,378.1580146439791,15
7,1,1,2026-05-12T03:54:17.976736+00:00,,,,,0,,visible,self-report,random,v1.0,0.312921432429762,1.487870778233106,0.12338511849766452,3008.2922517623438,202.73367435526114,24
8,1,1,2026-05-12T03:54:17.982599+00:00,,,,,0,,visible,self-report,random,v1.0,0.21605993777087307,2.474221448235223,0.05424902850161151,1669.5199644544066,76.36102692761199,28
9,1,1,2026-05-12T03:54:17.987431+00:00,,,,,0,,visible,self-report,random,v1.0,0.02111795879493257,4.205254093575688,0.037116382641892334,765.9701991851031,32.97799270576018,49
10,1,1,2026-05-12T03:54:17.992501+00:00,,,,,0,,visible,self-report,random,v1.0,0.5620110816966238,0.9926900322064118,0.23898905916116447,3374.302692850052,427.1969172834996,17
11,1,1,2026-05-12T03:54:17.997253+00:00,,,,,0,,visible,self-report,random,v1.0,0.3148103074224883,2.450463039548334,0.13320799062971145,3017.5310064301884,171.44028807157528,15
12,1,1,2026-05-12T03:54:18.002356+00:00,,,,,0,,visible,self-report,random,v1.0,0.334852607020627,2.15339161482287,0.07377569933242976,1407.5691327182599,148.84525854269302,28
13,1,1,2026-05-12T03:54:18.006861+00:00,,,,,0,,visible,self-report,random,v1.0,0.1668755926607001,5.788777115797632,0.018496559169135847,1322.559448508237,36.63678274336948,58
14,1,1,2026-05-12T03:54:18.009896+00:00,,,,,0,,visible,self-report,random,v1.0,0.7447223040363077,0.6310863598346113,0.29269350860862564,3279.8558772323045,374.63103182448026,5
15,1,1,2026-05-12T03:54:18.014900+00:00,,,,,0,,visible,self-report,random,v1.0,0.3776792267028689,3.625799238797475,0.09185943954625256,2893.5577854259755,263.05061534748046,34
16,1,1,2026-05-12T03:54:18.019124+00:00,,,,,0,,visible,self-report,random,v1.0,0.3301830451026573,3.064893166348308,0.0283794710284063,2326.2422887619505,149.16686007463173,22
17,1,1,2026-05-12T03:54:18.023151+00:00,,,,,0,,visible,self-report,random,v1.0,0.18833726651203905,4.153491574893399,0.014697495953053676,1291.9986230009492,49.41639535135593,47
18,1,1,2026-05-12T03:54:18.027683+00:00,,,,,0,,visible,self-report,random,v1.0,0.8211851467181303,1.5131478126484805,0.16906777222994368,3931.1600185527195,297.7393551135605,7
19,1,1,2026-05-12T03:54:18.032848+00:00,,,,,0,,visible,self-report,random,v1.0,0.5728657215075893,3.8960557836845737,0.09382215132676211,1675.6050355485445,180.8185231302637,39
20,1,1,2026-05-12T03:54:18.036951+00:00,,,,,0,,visible,self-report,random,v1.0,0.22894851664497784,2.622342742710595,0.0357282049842043,2382.88867348625,129.1258254705727,30
21,1,1,2026-05-12T03:54:18.040465+00:00,,,,,0,,visible,self-report,random,v1.0,0.04214481285835075,5.672412117824734,0.010983552197540198,380.0277036798119,41.97058924107176,36
22,1,1,2026-05-12T03:54:18.044466+00:00,,,,,0,,visible,self-report,random,v1.0,0.7465535539532258,1.9623009601869126,0.2613818666321917,8227.850978571943,227.2277011837376,7
23,1,1,2026-05-12T03:54:18.047395+00:00,,,,,0,,visible,self-report,random,v1.0,0.42027664325089126,4.435165202297417,0.10854878618086963,4872.370989435256,170.50753036332407,19
24,1,1,2026-05-12T03:54:18.051415+00:00,,,,,0,,visible,self-report,random,v1.0,0.38593590780456233,2.0776260914318376,0.07857849474574924,1006.0697903338461,98.51881395691325,38
25,1,1,2026-05-12T03:54:18.055413+00:00,,,,,0,,visible,self-report,random,v1.0,0.04491848303348048,5.321109197912515,0.031132678375794545,1472.313140370461,17.593539151377318,64
26,1,1,2026-05-12T03:54:18.059984+00:00,,,,,0,,visible,self-report,random,v1.0,0.5779043243196145,0.6789460738175264,0.12415757784426742,3090.919911425811,240.0146635326669,19
27,1,1,2026-05-12T03:54:18.062989+00:00,,,,,0,,visible,self-report,random,v1.0,0.5526029651513362,3.173708747853791,0.1197452411301268,1689.0328293885204,153.83778414318363,19
